

Generation: 1

| chromosome                                                                                                                                                                                                                                             |   id | parents      |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.010095607559168e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |   44 | (40, 37)  |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   45 | (41, 39)  |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   46 | (39, 23)  |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0046300258130546e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   47 | (39, 37)  |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0046300258130546e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   48 | (37, 36)  |
| [0.0, -7.602982060789769e-13, -2.6168058622556336e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   49 | (23, 36)  |

Generation: 6

| chromosome                                                                                                                                                                                                                                             |   id | parents   |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3408968954084364e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0064320548812164e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   36 | (29, 23)  |
| [0.0, -7.602982060789769e-13, -2.541808963712291e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   23 | (12, 12)  |
| [0.0, -7.602982060789769e-13, -2.6168058622556336e-13, 3.3408968954084364e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0064320548812164e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   50 | (36, 49)  |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   51 | (45, 49)  |
| [0.0, -7.602982060789769e-13, -2.541808963712291e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   52 | (23, 23)  |
