

Generation: 0

| chromosome                                                                                                                                                                                                                                               | train   | val   |     fitness |   id | parents      |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.92290813387891e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.862145672331803e-08, 1.0114536553207675e-09]   |   23 | (12, 12)     | 1.23644e+11 | 1.46774e+11 | 1.35209e+11 |
| [0.0, -8.0145179052405e-13, -2.263633918000225e-13, 2.952439272104154e-11, -1.0772224986700857e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.8198723433182447e-08, 1.0114536553207675e-09]     |   25 | (0, 13)      | 7.77401e+10 | 2.22378e+11 | 1.50059e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.8747184676984947e-08, 1.0114536553207675e-09] |   24 | (16, 16)     | 1.50597e+11 | 1.49784e+11 | 1.5019e+11  |
| [0.0, -7.981225844542734e-13, -2.263633918000225e-13, 2.9181493833882984e-11, -1.0514630127791764e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.178193661305887e-06, -1.847010576944937e-08, 1.0114536553207675e-09]    |   20 | (1, 13)      | 2.82716e+11 | 2.25064e+11 | 2.5389e+11  |
| [0.0, -7.981225844542734e-13, -2.263633918000225e-13, 3.065261382769879e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0621448243963475e-09]    |    1 | (None, None) | 8.48846e+11 | 2.72063e+12 | 1.78474e+12 |

Generation: 3

| chromosome                                                                                                                                                                                                                                               |   id | parents      |       train |         val |     fitness |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|--------------|-------------|-------------|-------------|
| [0.0, -7.881938865396971e-13, -2.248600058686649e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |    0 | (None, None) | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   31 | (0, 19)      | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   19 | (0, 12)      | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.808530202994824e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09] |   28 | (21, 19)     | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   32 | (19, 18)     | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09] |   33 | (21, 22)     | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.981225844542734e-13, -2.263633918000225e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.862231665924604e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.853893339762528e-08, 1.0114536553207675e-09]   |   26 | (18, 0)      | 1.09269e+11 | 1.51152e+11 | 1.3021e+11  |
| [0.0, -7.981225844542734e-13, -2.263633918000225e-13, 2.873145458109932e-11, -1.1092505134172915e-10, -1.4497860341835678e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   29 | (18, 0)      | 8.83838e+10 | 1.7316e+11  | 1.30772e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.862145672331803e-08, 1.0114536553207675e-09] |   27 | (18, 23)     | 1.23644e+11 | 1.46774e+11 | 1.35209e+11 |
| [0.0, -7.881938865396971e-13, -2.263633918000225e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1044881404253474e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   30 | (0, 23)      | 9.48309e+10 | 5.79892e+11 | 3.37361e+11 |

Generation: 4

| chromosome                                                                                                                                                                                                                                               |   id | parents      |       train |         val |     fitness |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|--------------|-------------|-------------|-------------|
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   37 | (33, 31)     | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   38 | (19, 0)      | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.92532387551561e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]    |   36 | (31, 0)      | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
