Generation: 0

| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -5.7382156205301424e-11, -1.6110021463031745e-15, 9.936480808845139e-16, 3.019568400497159e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]   |   48 | (38, 40)  | 7.03613e+10 | 2.03708e+11 | 1.37034e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.131912661613758e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |   35 | (24, 29)  | 4.77183e+10 | 2.58932e+11 | 1.53325e+11 |
| [0.0, -8.205812360025269e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6453782564528268e-15, 9.936480808845139e-16, 2.9732643120274404e-05, -2.190665436746536e-06, -1.7586726699766478e-08, 1.0182119995533803e-09]    |   47 | (39, 37)  | 1.39467e+11 | 1.73598e+11 | 1.56532e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -5.63620319356905e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.189654390631185e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]    |   44 | (37, 35)  | 3.78089e+11 | 3.23154e+11 | 3.50621e+11 |

Generation: 6

| chromosome                                                                                                                                                                                                                                                |   id | parents   |       train |         val |     fitness |
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -3.594214806671842e-11, -1.6110021463031745e-15, 9.90123925033008e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]    |   40 | (24, 24)  | 8.64346e+10 | 1.67949e+11 | 1.27192e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.8659226167833456e-11, -1.6494290555232193e-15, 1.0047103318967415e-15, 2.983903606444162e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |   49 | (29, 37)  | 8.94444e+10 | 1.65382e+11 | 1.27413e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -5.107602841158009e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.983903606444162e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]   |   56 | (40, 49)  | 8.23814e+10 | 1.72594e+11 | 1.27488e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -5.7382156205301424e-11, -1.6110021463031745e-15, 1.0047103318967415e-15, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09] |   57 | (49, 43)  | 7.974e+10   | 1.76557e+11 | 1.28148e+11 |
| [0.0, -8.063077510239275e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6752561054985615e-15, 9.90123925033008e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]    |   53 | (40, 42)  | 9.98887e+10 | 1.57956e+11 | 1.28922e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6752561054985615e-15, 1.0047103318967415e-15, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.0182119995533803e-09]  |   55 | (42, 49)  | 9.98887e+10 | 1.57956e+11 | 1.28922e+11 |
| [0.0, -8.051139201815106e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -4.100909791905472e-11, -1.6453782564528268e-15, 9.936480808845139e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.9257121342692772e-08, 1.0182119995533803e-09]   |   50 | (42, 46)  | 3.36635e+11 | 2.95382e+11 | 3.16009e+11 |
| [0.0, -7.951344502289267e-13, -2.3924957860965804e-13, 3.174579276866615e-11, -5.7382156205301424e-11, -1.6110021463031745e-15, 9.90123925033008e-16, 2.9756959470705053e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 9.945601950943516e-10]    |   51 | (43, 40)  | 5.34939e+11 | 4.66033e+11 | 5.00486e+11 |
| [0.0, -8.117017949775789e-13, -2.3924957860965804e-13, 3.1674156426883073e-11, -5.7382156205301424e-11, -1.6110021463031745e-15, 9.90123925033008e-16, 2.9898633483221565e-05, -2.1485496217728127e-06, -1.8462404602296217e-08, 1.1102363917854666e-09]  |   52 | (43, 40)  | 3.26672e+12 | 8.35715e+12 | 5.81193e+12 |
